CPI-Average Price Data,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,APU000074714,,,,,,,,,,,
Series Title:,"Gasoline, unleaded regular, per gallon/3.785 liters in U.S. city average, average price, not seasonally adjusted",,,,,,,,,,,
Area:,U.S. city average,,,,,,,,,,,
Item:,"Gasoline, unleaded regular, per gallon/3.785 liters",,,,,,,,,,,
Years:,2008 to 2018,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2008,3.047,3.033,3.258,3.441,3.764,4.065,4.090,3.786,3.698,3.173,2.151,1.689
2009,1.787,1.928,1.949,2.056,2.265,2.631,2.543,2.627,2.574,2.561,2.660,2.621
2010,2.731,2.659,2.780,2.858,2.869,2.736,2.736,2.745,2.704,2.795,2.852,2.985
2011,3.091,3.167,3.546,3.816,3.933,3.702,3.654,3.630,3.612,3.468,3.423,3.278
2012,3.399,3.572,3.868,3.927,3.792,3.552,3.451,3.707,3.856,3.786,3.488,3.331
2013,3.351,3.693,3.735,3.590,3.623,3.633,3.628,3.600,3.556,3.375,3.251,3.277
2014,3.320,3.364,3.532,3.659,3.691,3.695,3.633,3.481,3.403,3.182,2.887,2.560
2015,2.110,2.249,2.483,2.485,2.775,2.832,2.832,2.679,2.394,2.289,2.185,2.060
2016,1.967,1.767,1.958,2.134,2.264,2.363,2.225,2.155,2.208,2.243,2.187,2.230
2017,2.351,2.299,2.323,2.418,2.386,2.337,2.281,2.374,2.630,2.484,2.548,2.459
2018,2.539,2.575,2.572,2.737,2.907,2.914,2.873,2.862,,,,
